population,numATMs,ATMwithdr,withdrvalue,unemprate,numbranches
3722,1,".25542593","79.13402557",.0728676,.5
7006,2,"1.837865114","102.6663437",.0226948,.5
4234,0,"missing","missing",.0273973,.125
6229,0,"missing","missing",.024402,.75
10303,1,".6062539816","98.93833923",.0284383,.375
7424,0,"missing","missing",.0373114,.875
2868,0,"missing","missing",.0355649,.375
7129,1,".8399091363","89.14505768",.0352083,.625
5422,0,"missing","missing",.0337514,.125
11564,2,"1.479088187","95.35142517",.0393462,.75
13634,1,".4728165567","101.8217239",.023104,.75
11864,0,"missing","missing",.0321982,.625
21657,4,"1.616903305","87.98657227",.0422984,1.25
4105,0,"missing","missing",.0326871,.25
8933,0,"missing","missing",.0425013,.5
6014,0,"missing","missing",.0310941,.375
9143,1,"1.120984554","100.0271301",.0325932,.5
6471,0,"missing","missing",.0327616,.125
5540,0,"missing","missing",.0272563,.375
4992,0,"missing","missing",.0291726,.375
7871,1,".8060780168","94.02532196",.0364711,.625
22233,3,"1.02925384","91.56924438",.0475795,1.125
8782,1,".9040240645","98.06972504",.035755,.75
9144,1,".446885556","90.92995453",.036308,.625
22148,3,".9759710431","95.11981201",.0228781,1.75
6220,0,"missing","missing",.0228781,.75
5064,0,"missing","missing",.0131371,.6875
1982,0,"missing","missing",.0237134,.25
9839,1,".7094323039","97.88404083",.017888,1
7796,1,".6054539084","107.088913",.0143663,.8125
21307,2,".6818083525","96.7721405",.0238579,1.75
3278,0,"missing","missing",.0238579,.5
17900,2,".660166204","106.1417313",.0172626,1.125
4059,0,"missing","missing",.0189363,.375
5257,0,"missing","missing",.0189363,.5
2559,0,"missing","missing",.0112755,.375
4110,0,"missing","missing",.0174293,.125
5056,1,".7108969688","97.06452942",.0174293,.75
18196,2,".7566719055","100.0709915",.0208185,1.625
5951,2,"2.633136034","104.9790421",.013314,.875
2689,0,"missing","missing",.013314,.125
11831,1,".5737721324","107.3751907",.0129321,1
8615,1,".6640569568","103.9465485",.0114916,1
8844,0,"missing","missing",.0107417,1
8560,1,".7014475465","112.3472061",.0181013,.875
2047,0,"missing","missing",.0181013,.25
14254,1,".4867691696","101.0538177",.013961,1.125
11651,1,".5647422075","107.8446655",.0150202,1.25
10535,1,".8200903535","97.6971817",.0123398,1.25
17166,3,".8953496814","105.2461548",.015088,2.125
15444,1,".5982964635","100.0321503",.0204106,.875
3873,1,".9495713115","97.79012299",.0204106,.625
11096,1,".6035115123","102.5961304",.0167482,.875
7294,0,"missing","missing",.0167482,.75
8732,1,".8232467175","101.2085037",.0132845,1
10829,1,".599909246","102.3603516",.0137593,1.125
6942,1,"1.053541064","109.0342407",.0201046,.75
8884,2,"1.445601702","101.0306396",.0126888,1.5
4508,0,"missing","missing",.0126888,.625
7335,0,"missing","missing",.0126888,.375
11980,0,"missing","missing",.0443823,.75
9608,0,"missing","missing",.0443823,1
25582,3,".6474126577","106.8134308",.0311156,1.875
18007,2,".8590907454","113.0550308",.024877,1.625
5985,0,"missing","missing",.024877,.875
