ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
83,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"AlfaRomeo",729,1351,58,890,5,5,401.5,161,130.5,5.8,7.9,9.6,7.766667,165,,336250,.7914975,6078.427,203.8789,1649.263,55.31859,62.71667,71.46059,80.77931,100.4301,.0335414,.25,9860000,4.19e+12,5.45e+12,7.57e+10,9.86e+10,7679.653,9998.877
84,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"AlfaRomeo",1860,1351,58,890,5,5,401.5,161,130.5,5.8,7.9,9.6,7.766667,165,11.5,348750,.7620164,5859.434,191.8524,1817.804,59.5194,69.49167,78.82461,85.90679,108.033,.0327425,.25,9860000,4.51e+12,5.59e+12,7.58e+10,9.39e+10,7689.38,9522.693
85,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"AlfaRomeo",1771,1351,58,890,5,5,401.5,161,130.5,5.8,7.9,9.6,7.766667,165,11.5,361000,.7362775,6126.147,188.4111,1916.022,58.92774,75.89166,84.89509,90.08846,110.8499,.0307552,.25,9860000,4.83e+12,5.64e+12,8.20e+10,9.58e+10,8320.432,9715.203
86,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"AlfaRomeo",2047,1351,58,890,5,5,401.5,161,134.5,5.8,7.9,9.6,7.766667,167,11.5,339900,.6590914,6559.178,196.1014,1733.287,51.82051,80.30833,85.04787,91.25555,98.11595,.0298972,.25,9860000,5.08e+12,5.73e+12,9.81e+10,1.11e+11,9951.85,11212.44
87,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",2147,1351,58,910,5,5,401.5,161,134.5,5.8,8,10,7.933333,167,11.5,349900,.6493152,7272.066,208.7235,1676.38,48.11562,84.11667,87.59422,92.6741,93.25135,.0287021,.25,9870000,5.32e+12,5.86e+12,1.11e+11,1.22e+11,11199.59,12348.46
88,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",2087,1351,58,910,5,5,401.5,161,134.5,5.8,8,10,7.933333,167,11.5,375000,.6525179,7527.233,212.966,1760.845,49.8191,88.39166,90.70075,93.75102,94.78403,.0282927,.25,9900000,5.69e+12,6.14e+12,1.14e+11,1.23e+11,11535.67,12451.31
89,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",1803,1351,63,910,5,5,401.5,161,134.5,5.7,7.8,10.3,7.933333,172,10.3,413000,.6656322,8282.115,236.9423,1743.041,49.86649,93.91667,96.01752,96.66241,101.0056,.0286089,.25,9940000,6.17e+12,6.36e+12,1.24e+11,1.28e+11,12442.48,12833.87
90,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",2689,1351,63,940,5,5,407.5,161.5,135,7.8,7.8,7.8,7.8,176,10.3,421000,.6403896,9353.32,259.6181,1621.613,45.01075,99.96667,100,100,100,.0277568,.25,9970000,6.55e+12,6.55e+12,1.46e+11,1.46e+11,14605.67,14605.67
91,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",2880,1351,65,940,5,5,407.5,161.5,135,5.7,7.9,9.9,7.833333,176,10.3,429500,.6240315,9128.469,251.6236,1706.914,47.05061,106.25,103.3408,103.2085,98.95197,.0275647,.25,9980000,6.87e+12,6.66e+12,1.46e+11,1.42e+11,14628.22,14181.63
92,"Belgium",1,5,"AlfaRomeo","alfa 33","alfa romeo","33","Italy","Italy","compact",0,"Fiat",2849,1351,66,940,5,5,407.5,161.5,135,5.8,7.8,9.5,7.7,178,11.7,410602,.5708644,9137.56,228.4035,1797.705,44.93563,111.7417,105.2964,105.7164,97.17374,.0249961,.195,1.01e+07,7.23e+12,6.76e+12,1.61e+11,1.50e+11,16006.53,14965.8
